country,code,year,emission
Brazil,BRA,1901,2103136
Brazil,BRA,1902,2506176
Brazil,BRA,1903,2440224
Brazil,BRA,1904,2619760
Brazil,BRA,1905,2799296
Brazil,BRA,1906,3206000
Brazil,BRA,1907,3451488
Brazil,BRA,1908,3594384
Brazil,BRA,1909,3609040
Brazil,BRA,1910,4198944
Brazil,BRA,1911,4605648
Brazil,BRA,1912,5591264
Brazil,BRA,1913,6034608
Brazil,BRA,1914,4107344
Brazil,BRA,1915,3143712
Brazil,BRA,1916,2879904
Brazil,BRA,1917,2498848
Brazil,BRA,1918,2322976
Brazil,BRA,1919,3070432
Brazil,BRA,1920,3645680
Brazil,BRA,1921,2890896
Brazil,BRA,1922,3781248
Brazil,BRA,1923,4616640
Brazil,BRA,1924,5103952
Brazil,BRA,1925,5375088
Brazil,BRA,1926,5477680
Brazil,BRA,1927,6074912
Brazil,BRA,1928,5928352
Brazil,BRA,1929,6346048
Brazil,BRA,1930,5514320
Brazil,BRA,1931,4169632
Brazil,BRA,1932,4169632
Brazil,BRA,1933,4722896
Brazil,BRA,1934,4623968
Brazil,BRA,1935,5510656
Brazil,BRA,1936,5147920
Brazil,BRA,1937,6089568
Brazil,BRA,1938,6096896
Brazil,BRA,1939,5950336
Brazil,BRA,1940,6488944
Brazil,BRA,1941,6283760
Brazil,BRA,1942,5869728
Brazil,BRA,1943,6477952
Brazil,BRA,1944,5899040
Brazil,BRA,1945,6826032
Brazil,BRA,1946,7463568
Brazil,BRA,1947,8951152
Brazil,BRA,1948,7851952
Brazil,BRA,1949,7371968
Brazil,BRA,1950,19664688
Brazil,BRA,1951,21665232
Brazil,BRA,1952,24940848
Brazil,BRA,1953,25226640
Brazil,BRA,1954,29685728
Brazil,BRA,1955,34034896
Brazil,BRA,1956,36621680
Brazil,BRA,1957,35987808
Brazil,BRA,1958,39069232
Brazil,BRA,1959,39017080.3
Brazil,BRA,1960,46851820.73
Brazil,BRA,1961,49144504.1
Brazil,BRA,1962,53631448.03
Brazil,BRA,1963,55550938.29
Brazil,BRA,1964,56666675.33
Brazil,BRA,1965,56329617.05
